description,recommendationSource,recommendationImpact,recommendationResourceType,remediationAction,recommendationControl,acorlGuid,recommendationTypeId,recommendationMetadataState,potentialBenefits,pgVerified,publishedToLearn,automationAvailable,tags,learnMoreLink,SourceFile,SourceType,ResourceGroupName,RecommendationDate,RecommendationTypeId,RecommendationSolution,RecommendationProvider,RecommendationId,ResourceCategory,RecommendationControl,RecommendationMaturityLevel,RecommendationCategory,RecommendationDescription,RecommendationImpact,ResourceType,RecommendationDetails
Determine the Right Blob Storage Tier,Manual,Medium,microsoft.storage/storageaccounts,"Select the appropriate Blob Storage tier (Hot, Cool, or Archive) based on access frequency and cost.
",UsageOptimization/OptimizeResources,6613e168-6d78-4dfe-85b0-e15df102bdec,,Active,Optimize cost,False,False,False,,"[{'name': 'Access tiers for blob data', 'url': 'https://learn.microsoft.com/en-us/azure/storage/blobs/access-tiers-overview'}]",content/azure-resources/storage/blob/recommendations.yaml,YAML,,,,,,,,,,,,,,
Optimize costs by automatically managing the data lifecycle,Manual,Medium,microsoft.storage/storageaccounts,"Enable lifecycle management policies to automatically move data to the appropriate storage tier.
",UsageOptimization/OptimizeResources,f6a53c88-9d40-4cee-9c89-36e9e4a1c29e,,Active,Optimize cost,False,False,False,,"[{'name': 'Lifecycle management policies', 'url': 'https://learn.microsoft.com/en-us/azure/storage/blobs/lifecycle-management-overview?tabs=azure-portal'}]",content/azure-resources/storage/blob/recommendations.yaml,YAML,,,,,,,,,,,,,,
Determine if your workload needs Azure Premium SSD performance or if Azure Standard HDD storage is enough,Manual,Low,Microsoft.Compute/disks,"If you need high IOPS, fast data transfer speeds, or low latency, opt for premium Azure file shares. Note that NFS Azure file shares are only available on the premium tier, and NFS and SMB file shares cost the same on this tier.
",UsageOptimization/OptimizeResources,c065d74b-d117-4851-b525-b7c4ebd0a4a3,,Active,Optimize cost,False,False,False,,"[{'name': 'Understand and optimize Azure file share performance', 'url': 'https://learn.microsoft.com/en-us/azure/storage/files/understand-performance'}]",content/azure-resources/storage/fileServices/recommendations.yaml,YAML,,,,,,,,,,,,,,
"If using premium shares, provision enough capacity and performance for your workload without incurring unnecessary costs",Manual,Low,Microsoft.Compute/disks,"We recommend overprovisioning by two to three times. You can dynamically scale premium file shares up or down depending on your storage and input/output (IO) performance characteristics.
",UsageOptimization/OptimizeResources,9ec1f442-ca32-4cb2-aa8d-c11de74a323b,,Active,Optimize cost,False,False,False,,"[{'name': 'Architecture best practices for Azure Files', 'url': 'https://learn.microsoft.com/en-us/azure/well-architected/service-guides/azure-files#design-checklist-1'}]",content/azure-resources/storage/fileServices/recommendations.yaml,YAML,,,,,,,,,,,,,,
Choose the most cost-effective access tier,Manual,Low,Microsoft.Compute/disks,"Standard SMB Azure file shares offer three access tiers: transaction optimized, hot, and cool. All three tiers are stored on the same standard storage hardware. The main difference for these three tiers is their data at rest storage prices, which are lower in cooler tiers, and the transaction prices, which are higher in cooler tiers
",UsageOptimization/OptimizeResources,f0cd22ef-af24-44cf-b81b-aec73a27295c,,Active,Optimize cost,False,False,False,,"[{'name': 'Understand Azure Files billing models', 'url': 'https://learn.microsoft.com/en-us/azure/storage/files/understanding-billing#differences-in-standard-tiers'}]",content/azure-resources/storage/fileServices/recommendations.yaml,YAML,,,,,,,,,,,,,,
Set retention periods for the soft-delete feature,Manual,Low,Microsoft.Compute/disks,"Start with a short retention period to understand its billing impact. The minimum recommended period is seven days. Soft-deleted standard and premium file shares are billed as used capacity. Premium file shares are billed at the snapshot rate, while standard file shares are billed at the regular rate during the soft-delete state.
",UsageOptimization/OptimizeResources,b92dc04e-8464-4352-aba6-205ff0240e2f,,Active,Optimize cost,False,False,False,,"[{'name': 'How to enable soft delete on Azure file shares', 'url': 'https://learn.microsoft.com/en-us/azure/storage/files/storage-files-enable-soft-delete?tabs=azure-portal'}]",content/azure-resources/storage/fileServices/recommendations.yaml,YAML,,,,,,,,,,,,,,
Use Resource Locks on Critical Resources,Manual,Low,Microsoft.Authorization/locks,"Apply Resource Locks to prevent accidental deletion or modification of critical resources, which can lead to unplanned costs or downtime.
",Governance/ResourceProtection,be004a44-c027-4205-a14b-52dd3eb3a98e,,Active,Compliance,False,False,False,,"[{'name': 'Azure Resource Locks overview', 'url': 'https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/lock-resources?tabs=json'}]",content/azure-resources/CustomCost/recommendations.yaml,YAML,,,,,,,,,,,,,,
Use Management Groups for Hierarchical Organization,Manual,Low,Microsoft.management/managementgroups,"Organize multiple subscriptions under Management Groups to apply consistent policies and access control across all resources. This enables easy management and enforcement of best practices.
",Governance/Compliance,106065c1-b217-4fc5-bae0-1fe6035bdc86,,Active,"Governance, Compliance",False,False,False,,"[{'name': 'Azure management groups overview', 'url': 'https://learn.microsoft.com/en-us/azure/governance/management-groups/overview'}]",content/azure-resources/CustomCost/recommendations.yaml,YAML,,,,,,,,,,,,,,
Apply Azure Policies to Standardize Resource Usage,Manual,Low,Microsoft.PolicyInsights,"Define Azure Policies at the subscription or management group level to enforce resource configurations, such as requiring specific VM sizes, storage redundancy, or geographic regions, to prevent unnecessary costs.
",Governance/ResourceManagement,480d3a1a-4b76-4d58-a455-186e6b4c6e0d,,Active,"Governance, Compliance",False,False,False,,"[{'name': 'Azure Policy overview', 'url': 'https://learn.microsoft.com/en-us/azure/governance/policy/overview'}]",content/azure-resources/CustomCost/recommendations.yaml,YAML,,,,,,,,,,,,,,
Use Azure Policy to Enforce Tags,Manual,Low,Microsoft.PolicyInsights,"Enforce tagging compliance using Azure Policy, ensuring all resources are tagged appropriately from creation to avoid missing data in cost reporting.
",CostManagement/CostAllocation,4241cf7d-7051-4774-9fa1-85b1976a0677,,Active,"Governance, Cost allocation",False,False,False,,"[{'name': 'Assign policy definitions for tag compliance', 'url': 'https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/tag-policies'}]",content/azure-resources/CustomCost/recommendations.yaml,YAML,,,,,,,,,,,,,,
Review Reservation Utilization Regularly,Manual,High,Microsoft/CustomCost,"Monitor RI utilization to ensure commitments are fully used. Adjust reservations if usage patterns change significantly. Leverage reservation utilization alerts
",RateOptimization/OptimizingUsage,c8be9bc8-9a6a-4e66-9a61-c11d1b54c189,,Active,Cost optimization,False,False,False,,"[{'name': 'Reservation utilization alerts', 'url': 'https://learn.microsoft.com/en-us/azure/cost-management-billing/costs/reservation-utilization-alerts'}]",content/azure-resources/CustomCost/recommendations.yaml,YAML,,,,,,,,,,,,,,
Set Budgets and Alerts,Manual,Low,Microsoft/CustomCost,"Use Azure Cost Management + Billing to set budgets at subscription, resource group, or resource levels and set up alerts to notify stakeholders when usage approaches budget limits.
",Governance/BudgetCostControl,c0e099e7-b4fa-4eeb-8d2d-1ba2ace8a628,,Active,,False,False,False,,"[{'name': 'Reservation utilization alerts', 'url': 'https://learn.microsoft.com/en-us/azure/cost-management-billing/costs/reservation-utilization-alerts'}]",content/azure-resources/CustomCost/recommendations.yaml,YAML,,,,,,,,,,,,,,
Automate Resource Shutdown and Startup,Manual,Low,Microsoft/CustomCost,"Schedule non-critical VMs or services to shut down after hours or during low-use periods. Use Azure Automation or Azure Logic Apps to automatically manage resource shutdowns.
",UsageOptimization/OptimizeResources,039f835e-ce7a-495a-bea6-67bffb7a03ae,,Active,,False,False,False,,"[{'name': 'Choose the Automation services in Azure', 'url': 'https://learn.microsoft.com/en-us/azure/automation/automation-services'}]",content/azure-resources/CustomCost/recommendations.yaml,YAML,,,,,,,,,,,,,,
Leverage Azure DevTest Labs for Development Environments,Manual,Low,Microsoft/CustomCost,"Use Azure DevTest Labs to automate the provisioning and de-provisioning of resources for development environments, reducing idle time and costs in non-production environments.
",UsageOptimization/OptimizeResources,43f8238b-0404-47a4-b82c-4573571dde02,,Active,,False,False,False,,"[{'name': 'Azure DevTest Labs overview', 'url': 'https://learn.microsoft.com/en-us/azure/devtest-labs/devtest-lab-overview'}]",content/azure-resources/CustomCost/recommendations.yaml,YAML,,,,,,,,,,,,,,
Establish FinOps Practices for Cost Visibility,Manual,Low,Microsoft/CustomCost,"Create a cross-functional FinOps team involving finance, engineering, and management to continuously review and optimize costs, ensure accountability, and enforce cost-saving practices.
",FinOps/CostVisibility,45fc8c4c-1f94-4fb3-b9a3-41d565f4aac3,,Active,Microsoft/CustomCost,False,False,False,,"[{'name': 'FinOps overview', 'url': 'https://learn.microsoft.com/en-us/cloud-computing/finops/overview'}]",content/azure-resources/CustomCost/recommendations.yaml,YAML,,,,,,,,,,,,,,
Proactively perform cost reviews (Regularly Review Billing Reports and Cost Management Insights),Manual,Low,Microsoft/CustomCost,"Use Azure Cost Management + Billing to generate and review cost reports. Look for anomalies, unused resources, and opportunities to optimize.
",CostManagement/CostMonitoring,93ed1fd5-8ab4-4afd-8315-aab0093db580,,Active,Microsoft/CustomCost,False,False,False,,[{'name': 'Get started with Cost Management reporting'}],content/azure-resources/CustomCost/recommendations.yaml,YAML,,,,,,,,,,,,,,
Select the appropriate AKS Tier,Manual,Medium,Microsoft.ContainerService/managedClusters,"Use the Free Tier for development and testing to avoid control plane costs, paying only for VMs, storage, and networking. Choose the Standard Tier for production workloads needing scalability, performance, and uptime SLA support. For mission-critical workloads, opt for the Premium Tier, which offers high availability, a financially backed SLA, and extended Kubernetes version support.
",UsageOptimization/OptimizeResources,4377cee6-dbbc-448a-9c7a-74ec87116719,,Active,Optimize existing resources,False,False,False,,"[{'name': 'Free, Standard, and Premium pricing tiers for Azure Kubernetes Service (AKS) cluster management', 'url': 'https://learn.microsoft.com/en-us/azure/aks/free-standard-pricing-tiers'}]",content/azure-resources/ContainerService/managedClusters/recommendations.yaml,YAML,,,,,,,,,,,,,,
Increase Cost Visibility with Microsoft Cost Management,Manual,Medium,Microsoft.ContainerService/managedClusters,"Use Microsoft Cost Management to track spending, set budgets, and forecast costs. Enable the AKS Cost Analysis add-on for for granular cluster cost breakdown by Kubernetes constructs along with Azure Compute, Network, and Storage categories.
",Governance/CostVisibility,0ff25323-819f-466f-80b2-4beeec398dd4,,Active,Optimize existing resources,False,False,False,,"[{'name': 'Azure Kubernetes Service (AKS) cost analysis', 'url': 'https://learn.microsoft.com/en-us/azure/aks/cost-analysis'}]",content/azure-resources/ContainerService/managedClusters/recommendations.yaml,YAML,,,,,,,,,,,,,,
Use cluster start/stop feature,Manual,Medium,Microsoft.ContainerService/managedClusters,"Reduce costs by stopping unused dev/test clusters with the cluster start/stop feature. It shuts down node pools while preserving cluster state, eliminating unnecessary compute charges.
",UsageOptimization/OptimizeResources,38ca350f-786b-4a30-9bd2-8f716de4ccff,,Active,Optimize existing resources,False,False,False,,"[{'name': 'Stop and start an Azure Kubernetes Service (AKS) cluster', 'url': 'https://learn.microsoft.com/en-us/azure/aks/start-stop-cluster'}]",content/azure-resources/ContainerService/managedClusters/recommendations.yaml,YAML,,,,,,,,,,,,,,
Use Spot VMs,Manual,Low,Microsoft.ContainerService/managedClusters,"Deploy Spot VMs in AKS to save up to 90% on compute costs by using Azure’s unused capacity. Ideal for dev/test, batch jobs, and workloads that can tolerate interruptions, but note that Azure may reclaim capacity at any time.
",UsageOptimization/OptimizeResources,c4ee932c-d5e5-4759-a275-7c333086f9bd,,Active,Optimize existing resources,False,False,False,,"[{'name': 'Use Azure Spot Virtual Machines', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/spot-vms'}, {'name': 'Add an Azure Spot node pool to an Azure Kubernetes Service (AKS) cluster', 'url': 'https://learn.microsoft.com/en-us/azure/aks/spot-node-pool'}]",content/azure-resources/ContainerService/managedClusters/recommendations.yaml,YAML,,,,,,,,,,,,,,
Use cluster preset configurations,Manual,Low,Microsoft.ContainerService/managedClusters,"Simplify AKS setup by using cluster preset configurations in the Azure portal. Choose Dev/Test for development and testing, or Production Economy for cost-conscious production workloads that can handle interruptions. These presets provide optimized, adjustable settings for VM SKUs, regions, and node counts to balance performance and cost.
",UsageOptimization/OptimizeResources,5cba0ce3-0860-405e-a386-e1a948f30795,,Active,Optimize existing resources,False,False,False,,"[{'name': 'Cluster configuration presets in the Azure portal', 'url': 'https://learn.microsoft.com/en-us/azure/aks/quotas-skus-regions#cluster-configuration-presets-in-the-azure-portal'}]",content/azure-resources/ContainerService/managedClusters/recommendations.yaml,YAML,,,,,,,,,,,,,,
Consider multitenancy,Manual,Medium,Microsoft.ContainerService/managedClusters,"Reduce management overhead and improve resource utilization by running multitenant AKS clusters. Use Kubernetes Namespaces for logical isolation, allowing teams or business units to share infrastructure while maintaining separation. This approach increases pod density and optimizes costs.
",UsageOptimization/OptimizeResources,df717616-7c47-4e6d-ab5b-28b59a6164c8,,Active,Optimize existing resources,False,False,False,,"[{'name': 'Azure Kubernetes Service (AKS) considerations for multitenancy', 'url': 'https://learn.microsoft.com/en-us/azure/architecture/guide/multitenant/service/aks'}]",content/azure-resources/ContainerService/managedClusters/recommendations.yaml,YAML,,,,,,,,,,,,,,
